username,participant_id,trial,policy,difficulty,agreement,confidence,accuracy,reaction_time_ms,timestamp_utc,app_version
shine,ce181d84-0acf-430c-877b-580b6eb1245d,1,adaptive,hard,Agree,0.1,1,16,2026-01-09T17:14:42.177361,1.2.0
shine,ce181d84-0acf-430c-877b-580b6eb1245d,2,adaptive,hard,Agree,0.1,1,13,2026-01-09T17:14:43.292001,1.2.0
shine,ce181d84-0acf-430c-877b-580b6eb1245d,3,adaptive,hard,Agree,0.1,1,22,2026-01-09T17:14:44.071407,1.2.0
shine,ce181d84-0acf-430c-877b-580b6eb1245d,4,adaptive,hard,Agree,0.1,1,15,2026-01-09T17:14:44.897269,1.2.0
shine,ce181d84-0acf-430c-877b-580b6eb1245d,5,adaptive,hard,Agree,0.1,1,11,2026-01-09T17:14:45.493796,1.2.0
shine,ce181d84-0acf-430c-877b-580b6eb1245d,6,adaptive,hard,Agree,0.1,0,6,2026-01-09T17:14:46.884047,1.2.0
shine,c0f5e99b-4f77-4e32-97f0-cb96140798dd,1,adaptive,easy,Disagree,0.7,0,130,2026-01-09T17:15:49.499965,1.2.0
shine,c0f5e99b-4f77-4e32-97f0-cb96140798dd,2,adaptive,easy,Disagree,0.9,0,12,2026-01-09T17:15:51.374162,1.2.0
shine,c0f5e99b-4f77-4e32-97f0-cb96140798dd,3,adaptive,easy,Disagree,0.1,0,11,2026-01-09T17:15:52.930771,1.2.0
shine,c0f5e99b-4f77-4e32-97f0-cb96140798dd,4,adaptive,easy,Agree,0.1,0,7,2026-01-09T17:15:55.970059,1.2.0
shine,856e9cd5-0031-4503-9855-1c8db14e683a,1,adaptive,easy,Agree,0.7,1,5,2026-01-09T17:18:43.193746,1.2.0
shine,856e9cd5-0031-4503-9855-1c8db14e683a,2,adaptive,easy,Agree,0.7,1,3,2026-01-09T17:18:45.030312,1.2.0
shine,856e9cd5-0031-4503-9855-1c8db14e683a,3,adaptive,easy,Agree,0.7,1,5,2026-01-09T17:18:45.580315,1.2.0
shine,856e9cd5-0031-4503-9855-1c8db14e683a,4,adaptive,easy,Agree,0.7,1,6,2026-01-09T17:18:46.438312,1.2.0
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,1,adaptive,easy,Agree,0.1,0,7622,False,2026-01-09T18:18:37.329805,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,2,adaptive,easy,Agree,0.7,0,1286,False,2026-01-09T18:18:48.017567,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,3,adaptive,easy,Disagree,0.7,0,3272,False,2026-01-09T18:18:52.530015,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,4,adaptive,easy,Agree,0.7,1,2405,False,2026-01-09T18:18:57.067348,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,5,adaptive,easy,Agree,0.7,1,1901,False,2026-01-09T18:19:01.611093,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,0cf05c9e-e21c-49d4-ab90-0ca5105eaf16,6,adaptive,hard,Agree,0.7,0,4488,False,2026-01-09T18:19:09.212187,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.52.2"", ""pandas"": ""2.3.3"", ""numpy"": ""2.4.0"", ""sqlalchemy"": ""2.0.45"", ""bcrypt"": ""5.0.0""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,1,adaptive,easy,Agree,0.7,1,2927,False,2026-01-10T09:59:18.391739,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,2,adaptive,easy,Agree,0.7,1,2440,False,2026-01-10T09:59:25.104782,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,3,adaptive,easy,Agree,0.7,0,1612,False,2026-01-10T09:59:27.084362,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,4,adaptive,easy,Agree,0.7,1,378,False,2026-01-10T09:59:27.997362,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,5,adaptive,easy,Agree,0.7,1,2799,False,2026-01-10T09:59:31.707019,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,222548a7-bda3-4bb1-8e22-2cf855466188,6,adaptive,easy,Agree,0.7,0,2036,False,2026-01-10T09:59:36.228231,1.2.1,"{""python_version"": ""3.12.2"", ""streamlit"": ""1.50.0"", ""pandas"": ""2.2.3"", ""numpy"": ""2.1.3"", ""sqlalchemy"": ""2.0.38"", ""bcrypt"": ""4.2.1""}"
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,1,adaptive,easy,Agree,0.7,0,2785,False,2026-01-10T10:11:37.318222,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,2,adaptive,easy,Agree,0.7,0,2269,False,2026-01-10T10:11:40.354728,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,3,adaptive,easy,Agree,0.7,0,2408,False,2026-01-10T10:11:42.927196,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,4,adaptive,easy,Agree,0.7,1,2466,False,2026-01-10T10:11:44.089501,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,5,adaptive,easy,Agree,0.7,1,734,False,2026-01-10T10:11:45.139117,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,6,adaptive,easy,Agree,0.7,1,760,False,2026-01-10T10:11:45.794192,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,7,adaptive,easy,Agree,0.7,0,2285,False,2026-01-10T10:11:46.451242,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,8,adaptive,easy,Agree,0.7,1,2080,False,2026-01-10T10:11:47.085247,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,9,adaptive,easy,Agree,0.7,0,1895,False,2026-01-10T10:11:47.755386,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,10,adaptive,easy,Agree,0.7,1,632,False,2026-01-10T10:11:48.341385,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,11,adaptive,easy,Agree,0.7,1,1343,False,2026-01-10T10:11:48.963386,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,12,adaptive,easy,Agree,0.7,1,1842,False,2026-01-10T10:11:49.451389,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,13,adaptive,easy,Agree,0.7,1,1370,False,2026-01-10T10:11:50.061386,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,14,adaptive,easy,Agree,0.7,0,1593,False,2026-01-10T10:11:51.238202,1.3.2,"{""python"": ""3.12""}",auto
5bdc1fb53061,5bdc1fb530615ac426cffd3a7e2e06be622ec7710a4cd91b83c180a34b767437,8e9ea83e-39e9-4528-adb4-4947d07c4539,14,adaptive,easy,Agree,0.7,0,2255,False,2026-01-10T10:11:51.605782,1.3.2,"{""python"": ""3.12""}",auto
